file,line,fiscal_year,ein,organization,our_amount,verdict,nearest_disclosure_amount,delta,belongs_to_ein,org_text_merged
data/fy15/schedule_c/fy15_schedule_c_awards.csv,4,2015,135562301,New York City Mission Society,129400,unconfirmed,80000,49400,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,5,2015,135563028,Osborne Association,129400,unconfirmed,50000,79400,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,9,2015,133780848,New Yorkers Against Gun Violence,30000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,38,2015,201518304,Bushwick Housing Independence Project (BHIP),15000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,50,2015,465144468,Central Brooklyn Legal Services Corp,3500,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,60,2015,133693660,Chin Church Street School of Music and Art,10000,unconfirmed,5000,5000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,76,2015,132564241,"Community League of the Heights, Inc.",12500,unconfirmed,15000,-2500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,81,2015,132765465,"Council on the Environment, Inc.",25000,unconfirmed,20000,5000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,91,2015,201723492,Eastern Queens Alliance,10000,unconfirmed,7500,2500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,92,2015,200177748,EDIFY Communities of New York,30000,unconfirmed,50000,-20000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,122,2015,470939800,"Haitian American Business Network, Inc.",13500,unconfirmed,5000,8500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,127,2015,133573852,"Hispanic Federation, Inc.",30000,unconfirmed,25000,5000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,128,2015,133573852,"Hispanic Federation, Inc.",50000,unconfirmed,40000,10000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,141,2015,133609811,Korean American Family Service Center (KAFSC),10000,unconfirmed,7500,2500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,182,2015,133098397,"Neighborhood Housing Services of Northern Queens, Inc.",3500,unconfirmed,4000,-500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,187,2015,133842270,New Economy Project,7000,unconfirmed,5000,2000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,189,2015,133286250,"New York Asian Women's Center, Inc.",10000,unconfirmed,10556,-556,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,237,2015,113632920,South Asian Council for Social Services,11000,unconfirmed,6000,5000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,263,2015,133442022,Urban Justice Center,7000,unconfirmed,7500,-500,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,281,2015,133622107,"Mosholu-Montefiore Community Center, Inc.",20000,unconfirmed,25000,-5000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,291,2015,454847192,"Brooklyn City-Wide Council Of Presidents, Inc.",38750,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,303,2015,133706385,Manhattan APICHA Community Health Center,10556,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,304,2015,133630066,"Apollo Theater Foundation, Inc.",10556,unconfirmed,10456,100,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,369,2015,132727406,Afro American 1,315000,unconfirmed,100000,215000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,375,2015,133593885,Dominican Women's Development Center,850000,unconfirmed,765000,85000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,384,2015,112495601,Parent Child Home Program (PCHP),175000,unconfirmed,34000,141000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,386,2015,111904261,Brooklyn Public Library (BPL),175000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,387,2015,131887440,New York Public Library (NYPL),175000,unconfirmed,30000,145000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,388,2015,111904262,Queens Public Library (QPL),175000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,389,2015,131941627,Vera Institute of Justice,250000,unconfirmed,247000,3000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,400,2015,132668080,Kingsbridge Heights Community Center (Bronx),75000,unconfirmed,100000,-25000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,402,2015,133843322,Mt. Sinai Sexual Assault & Violence Intervention Program (Queens),75000,unconfirmed,53177,21823,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,415,2015,133422660,ENACT,310000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,417,2015,112995109,Institute for Student Achievement,167000,ein_absent,,,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,439,2015,352262561,"Zimmer Club Youth Conservation Program of Staten Island, Inc.",50000,unconfirmed,25000,25000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,445,2015,133749744,African Services Committee,45000,unconfirmed,40410,4590,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,446,2015,331007278,"After Hours Project, Inc.",10000,unconfirmed,9000,1000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,447,2015,112837894,"AIDS Center of Queens County, Inc.",10000,unconfirmed,9000,1000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,449,2015,134009817,"BOOM!Health (d.b.a CitiWide Harm Reduction Program, Inc.)",10000,unconfirmed,9000,1000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,450,2015,132739694,Charles B. Wang Community Health Center,45000,unconfirmed,40410,4590,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,451,2015,133556132,New York City Council Finance Division Page 44 Community Health Action of Staten Island,10000,unconfirmed,9000,1000,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,452,2015,133083068,"Community Healthcare Network, Inc.",60000,unconfirmed,53880,6120,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,453,2015,462121958,Empire Liver Foundation,155000,unconfirmed,139190,15810,,
data/fy15/schedule_c/fy15_schedule_c_awards.csv,454,2015,112592651,Family Services Network of New York,10000,unconfirmed,9000,1000,,
