file,line,fiscal_year,ein,organization,our_amount,verdict,nearest_disclosure_amount,delta,belongs_to_ein,org_text_merged,pdf_verdict,pdf_line,pdf_amounts,pdf_ein_lines,pdf_text
data/fy15/schedule_c/fy15_schedule_c_awards.csv,9,2015,133780848,New Yorkers Against Gun Violence,30000,ein_absent,,,,,pdf_confirms,448,30000,1,"New Yorkers Against Gun Violence 13-3780848 $30,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,38,2015,201518304,Bushwick Housing Independence Project (BHIP),15000,ein_absent,,,,,pdf_confirms,516,15000,1,"Reynoso Bushwick Housing Independence Project (BHIP) 20-1518304 $15,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,50,2015,465144468,Central Brooklyn Legal Services Corp,3500,ein_absent,,,,,pdf_confirms,529,3500,2,"Williams Central Brooklyn Legal Services Corp 46-5144468 $3,500"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,291,2015,454847192,"Brooklyn City-Wide Council Of Presidents, Inc.",38750,ein_absent,,,,,pdf_confirms,849,38750,2,"Brooklyn City-Wide Council Of Presidents, Inc. 45-4847192 $38,750"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,303,2015,133706385,Manhattan APICHA Community Health Center,10556,ein_absent,,,,,pdf_confirms,861,10556,4,"Manhattan APICHA Community Health Center 13-3706385 $10,556"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,386,2015,111904261,Brooklyn Public Library (BPL),175000,ein_absent,,,,,pdf_confirms,1013,175000,1,"Brooklyn Public Library (BPL) 11-1904261 $175,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,388,2015,111904262,Queens Public Library (QPL),175000,ein_absent,,,,,pdf_confirms,1015,175000,1,"Queens Public Library (QPL) 11-1904262 $175,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,415,2015,133422660,ENACT,310000,ein_absent,,,,,pdf_confirms,1580,310000,1,"ENACT 13-3422660 $310,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,417,2015,112995109,Institute for Student Achievement,167000,ein_absent,,,,,pdf_confirms,1582,167000,1,"Institute for Student Achievement 11-2995109 $167,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,458,2015,133464470,HELP/PSI,60000,ein_absent,,,,,pdf_confirms,2003,60000,1,"HELP/PSI 13-3464470 $60,000"
