year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence – Job Readiness Programs,Anti-Gun Violence – Job Readiness Programs,initiative_provider,,Center for Court Innovation,Center for Court Innovation,132612524,129400,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence – Job Readiness Programs,Anti-Gun Violence – Job Readiness Programs,initiative_provider,,"Man Up!, Inc.",,030553092,129400,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence – Job Readiness Programs,Anti-Gun Violence – Job Readiness Programs,initiative_provider,,New York City Mission Society,,135562301,129400,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence – Job Readiness Programs,Anti-Gun Violence – Job Readiness Programs,initiative_provider,,Osborne Association,,135563028,129400,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Legal Services,Anti-Gun Violence - Legal Services,initiative_provider,,Legal Aid Society,,135562265,1175000,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,"Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development","Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development",initiative_provider,,"Downtown Community Television Center, Inc.",,132742777,10000,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,"Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development","Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development",initiative_provider,,"New York WEB Center, Inc",,205620848,10000,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,"Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development","Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development",initiative_provider,,New Yorkers Against Gun Violence,,133780848,30000,,
FY15,ANTI-GUN VIOLENCE INITIATIVE,ANTI-GUN VIOLENCE INITIATIVE,"Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development","Anti-Gun Violence – Violence Prevention, Conflict Mediation and Youth Development",initiative_provider,,"Council for Unity, Inc.",,112880221,200000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Eugene,"71st Precinct Community Council, Inc.",,043784543,6000,,
