year,category,category_canonical,agencies,initiative,initiative_canonical,amount
FY09,CHILDREN SERVICES,CHILDREN SERVICES,ACS,Child Safety Initiative,Child Safety Initiative,3700000
FY09,CHILDREN SERVICES,CHILDREN SERVICES,ACS,Provider's Choice,Provider's Choice,1200000
FY09,CHILDREN SERVICES,CHILDREN SERVICES,ACS,Working Parents for a Working New York,Working Parents for a Working New York,300000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,Cultural Organizations,DCA,Coalition of Theaters of Color,Coalition Theaters of Color,800000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,CULTURAL ORGANZIATIONS AND LIBRARIES,DCA,Fiscal 2009 Partial PEG Restoration,Fiscal 2009 Partial PEG Restoration,5000000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,CULTURAL ORGANZIATIONS AND LIBRARIES,NY,Public Library (Research) Fiscal 2009 Partial PEG Restoration,Public Library (Research) Fiscal 2009 Partial PEG Restoration,1253000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,CULTURAL ORGANZIATIONS AND LIBRARIES,NY,Public Library (Branches) Fiscal 2009 Partial PEG Restoration,Public Library (Branches) Fiscal 2009 Partial PEG Restoration,5998000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,CULTURAL ORGANZIATIONS AND LIBRARIES,Brooklyn,Public Library Fiscal 2009 Partial PEG Restoration,Public Library Fiscal 2009 Partial PEG Restoration,4413000
FY09,CULTURAL ORGANZIATIONS AND LIBRARIES,CULTURAL ORGANZIATIONS AND LIBRARIES,Queens,Borough Public Library Fiscal 2009 Partial PEG Restoration,Borough Public Library Fiscal 2009 Partial PEG Restoration,4336000
FY09,DISCHARGE PLANNING AND AFTERCARE SERVICES,DISCHARGE PLANNING AND AFTERCARE SERVICES,DJJ,Discharge Planning/In-D etention Services,Discharge Planning/In-D etention Services,640000
FY09,DOMESTIC VIOLENCE,Domestic Violence Services,ACS,CONNECT,CONNECT,270000
FY09,DOMESTIC VIOLENCE,Domestic Violence Services,CJC,Brooklyn Family Justice Center,Brooklyn Family Justice Center,200000
FY09,DOMESTIC VIOLENCE,Domestic Violence Services,CJC,Domestic Violence and Empowerment (DoVE) Initiative,Domestic Violence and Empowerment (DoVE) Initiative,3000000
FY09,DOMESTIC VIOLENCE,Domestic Violence Services,CJC,Legal Services for Domestic Violence Victims,Legal Services for Domestic Violence Victims,350000
FY09,DOMESTIC VIOLENCE,Domestic Violence Services,CJC,Sanctuary for Families - Immigrant Battered Women's Initiative,Sanctuary for Families - Immigrant Battered Women's Initiative,500000
