file,line,column,ein,amount,defect,source,match_key,original_organization,recovered_organization
data/fy15/schedule_c/fy15_schedule_c_awards.csv,11,,043784543,6000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,"Eugene 71st Precinct Community Council, Inc.","71st Precinct Community Council, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,12,,113096017,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Ferreras|member<-Ferreras,"Ferreras 82nd Street District Management Association, Inc.","82nd Street District Management Association, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,13,,112572881,4500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Van Bramer|member<-Van Bramer,"Van Bramer 114th Civilian Observation Patrol, Inc.","114th Civilian Observation Patrol, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,18,,113167245,7500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Lander|member<-Lander,"Lander Arab-American Family Support Center, Inc., The","Arab-American Family Support Center, Inc., The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,19,,133187792,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,Chin Asian Americans for Equality,Asian Americans for Equality
data/fy15/schedule_c/fy15_schedule_c_awards.csv,27,,113475993,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,Eugene Boro Park Jewish Community Council,Boro Park Jewish Community Council
data/fy15/schedule_c/fy15_schedule_c_awards.csv,31,,134100758,40000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Cabrera|member<-Cabrera,"Cabrera Bronx Parent Housing Network, Inc.","Bronx Parent Housing Network, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,33,,113305406,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,Eugene Brooklyn Defender Services,Brooklyn Defender Services
data/fy15/schedule_c/fy15_schedule_c_awards.csv,38,,201518304,15000,member_bleed,council_disclosure,ein+amount@any-year|removed=Reynoso|member<-Reynoso,Reynoso Bushwick Housing Independence Project (BHIP),Bushwick Housing Independence Project (BHIP)
data/fy15/schedule_c/fy15_schedule_c_awards.csv,41,,112480339,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,"Eugene CAMBA, Inc.","CAMBA, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,44,,133323168,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,"Eugene Caribbean Women's Health Association, Inc.","Caribbean Women's Health Association, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,46,,112634818,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Ferreras|member<-Ferreras,"Ferreras Catholic Migration Services, Inc.","Catholic Migration Services, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,47,,112444676,8000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Lander|member<-Lander,"Lander Center for Anti-Violence Education (CAE, Inc., The)","Center for Anti-Violence Education (CAE, Inc., The)"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,49,,112652331,37500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Constantinides|member<-Constantinides,"Constantinides Central Astoria Local Development Coalition, Inc.","Central Astoria Local Development Coalition, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,52,,113580935,7500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Lander|member<-Lander,Lander Chhaya Community Development Corporation,Chhaya Community Development Corporation
data/fy15/schedule_c/fy15_schedule_c_awards.csv,58,,112835403,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,Eugene Church Avenue District Management Association,Church Avenue District Management Association
data/fy15/schedule_c/fy15_schedule_c_awards.csv,59,,132892297,15000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Johnson|member<-Johnson,Johnson Church of Holy Apostles,Church of Holy Apostles
data/fy15/schedule_c/fy15_schedule_c_awards.csv,68,,260364816,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,"Eugene Claire Heureuse Community Center, Inc.","Claire Heureuse Community Center, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,71,,112622003,15000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Torres|member<-Torres,"Torres Committee for Hispanic Children and Families, Inc., The","Committee for Hispanic Children and Families, Inc., The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,74,,203419400,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Eugene|member<-Eugene,"Eugene Community Concerns Network, Inc.","Community Concerns Network, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,80,,132967277,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,"Chin Council of Senior Centers and Services of New York City, Inc.","Council of Senior Centers and Services of New York City, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,83,,141719016,25000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Gibson|member<-Gibson,"Gibson Crenulated Company LTD, The","Crenulated Company LTD, The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,89,,861096987,9000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Constantinides|member<-Constantinides,"Constantinides East River Development Alliance, Inc.","East River Development Alliance, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,90,,861096987,22000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Van Bramer|member<-Van Bramer,"Van Bramer East River Development Alliance, Inc.","East River Development Alliance, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,95,,112224539,25000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Ferreras|member<-Ferreras,"Ferreras Elmcor Youth and Adult Activities, Inc.","Elmcor Youth and Adult Activities, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,106,,260117797,20000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Cabrera|member<-Cabrera,"Cabrera Fordham Road District Management Association, Inc., The","Fordham Road District Management Association, Inc., The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,108,,133904936,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Gibson|member<-Gibson,"Gibson Gambian Society in New York, Inc.","Gambian Society in New York, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,109,,223890531,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Gibson|member<-Gibson,"Gibson Garifuna Coalition USA, Inc.","Garifuna Coalition USA, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,113,,133366846,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,"Chin God's Love We Deliver, Inc.","God's Love We Deliver, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,115,,133366846,15000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Torres|member<-Torres,"Torres God's Love We Deliver, Inc.","God's Love We Deliver, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,118,,112382250,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Reynoso|member<-Reynoso,Reynoso Greater Ridgewood Restoration Corporation,Greater Ridgewood Restoration Corporation
data/fy15/schedule_c/fy15_schedule_c_awards.csv,131,,133647412,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Van Bramer|member<-Van Bramer,Van Bramer Hour Children,Hour Children
data/fy15/schedule_c/fy15_schedule_c_awards.csv,140,,133097905,15000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Cohen|member<-Cohen,Cohen Kingsbridge Riverdale Van Cortlandt Development Corporation,Kingsbridge Riverdale Van Cortlandt Development Corporation
data/fy15/schedule_c/fy15_schedule_c_awards.csv,144,,135562265,3500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Constantinides|member<-Constantinides,Constantinides Legal Aid Society,Legal Aid Society
data/fy15/schedule_c/fy15_schedule_c_awards.csv,153,,113344389,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Van Bramer|member<-Van Bramer,Van Bramer Make the Road New York,Make the Road New York
data/fy15/schedule_c/fy15_schedule_c_awards.csv,159,,201923521,12000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Lander|member<-Lander,Lander Masbia,Masbia
data/fy15/schedule_c/fy15_schedule_c_awards.csv,163,,275282132,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Johnson|member<-Johnson,"Johnson MCCNY Charities, Inc.","MCCNY Charities, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,169,,134355067,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,"Chin Metropolitan Waterfront Alliance, Inc.","Metropolitan Waterfront Alliance, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,171,,132622748,7000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,"Chin MFY Legal Services, Inc.","MFY Legal Services, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,172,,132622748,5000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Gibson|member<-Gibson,"Gibson MFY Legal Services, Inc.","MFY Legal Services, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,178,,133556768,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Gibson|member<-Gibson,"Gibson Momentum Project, Inc., The","Momentum Project, Inc., The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,179,,133109387,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Cabrera|member<-Cabrera,Cabrera Mosholu Preservation Corporation,Mosholu Preservation Corporation
data/fy15/schedule_c/fy15_schedule_c_awards.csv,181,,237398279,20000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Miller|member<-Miller,"Miller Neighborhood Housing Services of Jamaica, Inc.","Neighborhood Housing Services of Jamaica, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,185,,371443165,10000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Cohen|member<-Cohen,"Cohen New Bronx Chamber of Commerce, The","New Bronx Chamber of Commerce, The"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,189,,133286250,10000,member_bleed,council_disclosure,ein+amount@any-year|removed=Chin|member<-Chin,"Chin New York Asian Women's Center, Inc.","New York Asian Women's Center, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,191,,311702032,4000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Chin|member<-Chin,Chin New York City Alliance Against Sexual Assault,New York City Alliance Against Sexual Assault
data/fy15/schedule_c/fy15_schedule_c_awards.csv,193,,133149200,3500,member_bleed,council_disclosure,ein+amount@FY2015|removed=Van Bramer|member<-Van Bramer,"Van Bramer New York City Gay and Lesbian Anti-Violence Project, Inc.","New York City Gay and Lesbian Anti-Violence Project, Inc."
data/fy15/schedule_c/fy15_schedule_c_awards.csv,195,,133505428,15000,member_bleed,council_disclosure,ein+amount@FY2015|removed=Torres|member<-Torres,"Torres New York Legal Assistance Group, Inc.","New York Legal Assistance Group, Inc."
