resolution,chart,ein,conduit_organization,conduit_ein,status
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,,Neighborhood Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,133715149,Neighborhood. Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,EX127215,Neighborhood Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,132692936,Neighborhood Ihitiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,EX151636,Neighborhood Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,800198302,Neighborhood! Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,,"Neighborhood, Initiatives Development Corporation (NIDC)",133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,942713639,Neighborhood Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,EX102159,Neighborhood initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,450505551,Neighborhood Initiatives Development Corporation (NIDC),133110811,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,562550868,"Friends of Douglass/Greene Park, Inc.",651278807,
1,Local Initiatives Aav# FiscalConduit/Sponsoring Member EIN Number Agencv Amount UIA Conduit EIN Organization Organization Fiscal *,562550868,"Hoyt Street Association, Inc.",112501329,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,111989915,Saint Rosalia- -Regina Pacis Neighborhood Improvement,112697931,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,111989915,Metropolitan New York Synod Evangelical Lutheran Church,111989915,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,134358769,"YMS Management Associates, Inc.",112756216,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,204736648,"Alianza Dominicana, Inc.",133402057,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,260246736,Community League oft the Heights,132564241,
1,Aging Discretionary FiscalConduitEIN Member EINI Number Agency Amount Aay: UIA Organization # Fiscat'Conduit/SponsoringOrganization *,562659216,Northern Manhattan improvement Corporation,132972415,
2,,521285097,Harlem Arts Alliance,470873119,
3,,133864712,,,Denial Pending
3,,133864712,Samuel Field YM & YWHA. Inc,113071518,Denal Pending
3,,136400434,,,Government Entty
3,,237010206,,,Application Pending
3,,136400434,,,Government Entity
3,,136400434,,,Government Entity
3,,,,,Missing PQL Application
3,,136400434,,,Government Entity
3,,136400434,,,Government Entity
3,,136400434,,,Government Entty
3,,136400434,,,Government Entity
3,,136400434,,,Government Entity
3,,136400434,,,Government Entity
3,,113314191,"Maspeth Town Hall, Inc.",237259702,Cleared
3,,113314191,,,Cleared
3,,237361016,,,Missing PQL Application
3,,113455774,,,Missing PQL Application
3,,133098397,,,Cleared
3,,237398279,,,Cleared
3,,133098397,,,Cleared
3,,133098397,,,Cleared
3,,119169900,,,S10K PQL Not Required
3,,119169900,Bergen Basin Community Development Corporation d/b/a Millennium Development,113199040,S10K- PQL Not Required
3,,133995154,,,Application Pending
3,,112712761,,,S10K- PQL Not Required
3,,680602829,,,Cleared
3,,111381844,"Maspeth Town Hall, Inc.",237259702,S10K- PQL Not Required
3,,237259702,,,Cleared
3,,133593885,,,Application Pending
3,,132972415,,,Cleared
3,,112412205,,,Cleared
3,,112544630,,,Cleared
3,,113463615,,,Missing PQL Application
3,,431952083,,,Application Pending
3,,132605605,,,Cleared
3,,112622069,,,Missing PQL Application
3,,133166308,,,Missing PQL Application
3,,132735153,,,Cleared
3,,132685755,,,Missing PQL Application
3,,131847137,,,Cleared
3,,135562210,,,Cleared
3,,135562210,,,Cleared
3,,131624178,,,Cleared
3,,131624178,,,Cleared
3,,133652716,,,Application Pending
3,,136204790,,,Cleared
3,,112698671,,,Cleared
3,,112480339,,,Cleared
3,,112047151,,,Cleared
3,,136202692,,,Cleared
3,,133254484,,,Cleared
3,,112663007,,,Cleared
3,,112880221,,,Cleared
3,,112506422,,,Application Pending
3,,112614265,,,Cleared
3,,131624000,,,Cleared
3,,112507910,,,Cleared
3,,133576756,,,Missing PQL Application
3,,135598710,,,Cleared
3,,131562242,,,Cleared
3,,133104537,,,Cleared
3,,111729398,,,Cleared
3,,112548753,,,Missing PQL Appllication
3,,131825918,,,Application Pending
3,,135596792,,,Application Pending
3,,112420752,,,Cleared
3,,132988157,,,Application Pending
3,,133471084,,,Cleared
3,,132707665,,,Cleared
3,,112375583,,,Cleared
3,,112375583,,,Cleared
3,,131740024,,,Cleared
3,,112575794,,,Cleared
3,,132946970,,,Cleared
3,,111646304,,,Application Pending
3,,112777066,,,Cleared
3,,135563010,,,Cleared
3,,132572034,,,Cleared
3,,132912963,,,Application Pending
3,,133131888,,,Cleared
3,,116014770,,,Missing PQL Appllication
3,,132989768,,,Cleared
3,,131624228,,,Cleared
3,,131624228,,,Cleared
3,,131624228,,,Cleared
3,,116083182,,,Cleared
3,,132755214,,,Cleared
3,,133254484,,,Cleared
3,,133850823,,,Government Entity
3,,136127348,,,Cleared
3,,112647339,,,Cleared
3,,131624000,,,Cleared
3,,112475743,,,Cleared
3,,132645436,,,Cleared
3,,132612524,,,Cleared
3,,237021217,,,Cleared
3,,133268539,,,Cleared
3,,112651377,,,Cleared
3,,112934620,,,Cleared
3,,043252955,,,Cleared
3,,,,,Government Entity
3,,112453853,,,Cleared
3,,136400434,,,Government Entity
3,,132736022,,,Cleared
3,,112508370,,,Missing PQL Application
3,,510192170,,,Cleared
3,,133842867,,,Application Pending
3,,133079387,,,Application Pending
3,,112903423,,,Application Pending
3,,133591350,,,Cleared
3,,208574186,,,Missing PQL Application
3,,131671035,,,Did Not Apply for MWBE
3,,141845651,,,Application Pending
3,,237379940,,,Missing PQL Application
3,,136400434,,,Government Entity
3,,132736022,,,Cleared
3,,510192170,,,Cleared
3,,134042093,,,Application Pending
3,,133046424,,,Cleared
3,,112336154,,,Application Pending
3,,510135262,,,Application Pending
3,,112627555,,,Application Pending
3,,133611138,,,Cleared
