resolution,page,row,column,raw_text,confidence,flag,crop
1,9,0,ein,,1.0,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row00-ein.png
1,9,2,ein,,1.0,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row02-ein.png
1,9,2,organization,Crown Heights Community Mediation,0.792,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row02-organization.png
1,9,3,member,Vann,0.759,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row03-member.png
1,9,4,ein,,1.0,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row04-ein.png
1,9,5,member,Vann,0.631,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row05-member.png
1,9,6,ein,95-369596,0.999,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row06-ein.png
1,9,6,organization,United Community Services,0.64,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row06-organization.png
1,9,6,amount,"($100,000.00)",0.558,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row06-amount.png
1,9,7,organization,United Community Services,0.547,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row07-organization.png
1,9,8,amount,"($10,000.00)",0.751,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row08-amount.png
1,9,10,organization,"Girls' Vacation Fund, Inc. (d/b/a Girls Quest)",0.712,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row10-organization.png
1,9,11,ein,,1.0,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row11-ein.png
1,9,11,organization,Catholic Widows & Widowers of the Bronx,0.695,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row11-organization.png
1,9,11,agency,DFTA,0.646,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row11-agency.png
1,9,11,conduit_org,Neighborhood Initiatives Development Corporation (NIDC),0.596,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row11-conduit_org.png
1,9,12,conduit_org,Neighborhood. Initiatives Development Corporation (NIDC),0.761,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row12-conduit_org.png
1,9,13,ein,EX127215,0.999,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row13-ein.png
1,9,13,organization,Santa Maria Seniors Association,0.701,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row13-organization.png
1,9,13,conduit_org,Neighborhood Initiatives Development Corporation (NIDC),0.574,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row13-conduit_org.png
1,9,14,conduit_org,Neighborhood Ihitiatives Development Corporation (NIDC),0.476,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row14-conduit_org.png
1,9,15,ein,EX151636,0.999,ocr:ein,data/fy09/transparency-resolutions/review-crops/r01-p009-row15-ein.png
1,9,15,organization,Throggs Neck Giris Softball League,0.577,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row15-organization.png
1,9,15,amount,"($1,000.00)",0.747,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row15-amount.png
1,9,15,conduit_org,Neighborhood Initiatives Development Corporation (NIDC),0.664,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row15-conduit_org.png
1,9,16,member,Vacca,0.798,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row16-member.png
1,9,16,organization,Throggs Neck Girls Softball League,0.627,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row16-organization.png
1,9,16,conduit_org,Neighborhood! Initiatives Development Corporation (NIDC),0.603,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p009-row16-conduit_org.png
