category,agencies,initiative,amount
CHILDREN SERVICES,ACS,Child Care Classroom Restoration,8000000
CHILDREN SERVICES,ACS,Child Safety Initiative,3700000
CHILDREN SERVICES,ACS,Child Welfare Personnel PEG Restoration,3000000
CHILDREN SERVICES,ACS,Provider's Choice,1200000
CULTURAL ORGANZIATIONS AND LIBRARIES,DCA,Coalition of Theaters of Color,800000
CULTURAL ORGANZIATIONS AND LIBRARIES,DCA,Cultural After-School Adventure,5100000
CULTURAL ORGANZIATIONS AND LIBRARIES,DCA,Fiscal 2010 Partial PEG Restoration - Programs,3500000
CULTURAL ORGANZIATIONS AND LIBRARIES,DCA,Fiscal 2010 Partial PEG Restoration - Cultural Institutions Group,16000000
CULTURAL ORGANZIATIONS AND LIBRARIES,NY,Public Library (Research) Fiscal 2010 Partial PEG Restoration,6924000
CULTURAL ORGANZIATIONS AND LIBRARIES,NY,Public Library (Branches) Fiscal 2010 Partial PEG Restoration,15834000
CULTURAL ORGANZIATIONS AND LIBRARIES,Brooklyn,Public Library Fiscal 2010 Partial PEG Restoration,11870000
CULTURAL ORGANZIATIONS AND LIBRARIES,Queens,Borough Public Library Fiscal 2010 Partial PEG Restoration,11870000
DISCHARGE PLANNING AND AFTERCARE SERVICES,DJJ,Discharge Planning: Collaborative Family Initiative,640000
DOMESTIC VIOLENCE,ACS,"CONNECT, Inc. Community Empowerment Program",270000
DOMESTIC VIOLENCE,CJC,Brooklyn Family Justice Center,200000
DOMESTIC VIOLENCE,CJC,Domestic Violence and Empowerment (DoVE) Initiative,3000000
DOMESTIC VIOLENCE,CJC,Legal Services for Domestic Violence Victims,350000
DOMESTIC VIOLENCE,CJC,Sanctuary for Families - Immigrant Battered Women's Initiative,500000
DOMESTIC VIOLENCE,HRA,Sanctuary for Families - Economic Stability Project,150000
EDUCATION,CUNY,Creative Arts Team,400000
EDUCATION,DOE,Dropout Prevention & Intervention,2000000
EDUCATION,DOE,Executive Leadership Institute (CSA),300000
EDUCATION,DYCD,Jill Chaifitz Helpline,200000
EDUCATION,DOE,National Foundation for Teaching Entrepreneurship,110000
EDUCATION,DOE,Teacher's Choice,13000000
EDUCATION,DOE,Urban Advantage-Science Education,2500000
EDUCATION,DOE,Young Women’s Leadership Foundation,300000
EDUCATION,DYCD,Campaign for Fiscal Equity,50000
EDUCATION,DOE,Custodial Operations,4000000
EDUCATION,DOE,Full Day Universal Pre-Kindergarten,1500000
EDUCATION,DOE,"Chess-in-the-Schools, Inc.",300000
ELECTED OFFICIALS,BPs,Borough Presidents,5113000
ELECTED OFFICIALS,CBs,Community Boards,1722000
ELECTED OFFICIALS,DAs/OSNP,Office of the Special Narcotics Prosecutor,500000
ELECTED OFFICIALS,Pub.Admin.,Public Administrator,408629
HEALTH SERVICES AND PREVENTION,DOH,*Asthma Control Program,545000
HEALTH SERVICES AND PREVENTION,DOH,*Cancer Initiatives,1000000
HEALTH SERVICES AND PREVENTION,DOH,*Child Health Clinics,5000000
HEALTH SERVICES AND PREVENTION,DOH,Hip Hop Heals Healthy Eating & Living in Schools Initiative (formerly known as Comprehensive Podiatric Medical Screening),400000
HEALTH SERVICES AND PREVENTION,DOH,Emergency Preparedness -Primary Care Development Corporation (PCDC),600000
HEALTH SERVICES AND PREVENTION,DOH,*Family Planning,368000
HEALTH SERVICES AND PREVENTION,DOH,*HIV AIDS -Communities of Color (Prevention & Education),1664000
HEALTH SERVICES AND PREVENTION,DOH,*HIV Prevention and Health Literacy for Seniors,640000
HEALTH SERVICES AND PREVENTION,DOH,*HIV/AIDS-Faith Based Initiative,2000000
HEALTH SERVICES AND PREVENTION,DOH,*Infant Mortality,3546000
HEALTH SERVICES AND PREVENTION,DOH,*Injection Drug Users Health Alliance (IDUHA),1500000
HEALTH SERVICES AND PREVENTION,DOH,*NYU Dental Van,268000
HEALTH SERVICES AND PREVENTION,DOH,*Obesity Intervention Programs,2500000
HEALTH SERVICES AND PREVENTION,DOH,*Primary Care Initiative PEG Restoration,2750000
HEALTH SERVICES AND PREVENTION,DOH,*Rapid HIV Testing,2000000
HEALTH SERVICES AND PREVENTION,HRA,*NYC Managed Care Consumer Assistance Program,2000000
HIGHER EDUCATION,CUNY,Black Male Initiative,2500000
HIGHER EDUCATION,CUNY,Community College Administration and Operations PEG Restoration,21400000
HIGHER EDUCATION,CUNY,Dominican Studies Institute,470000
HIGHER EDUCATION,CUNY,Peter Vallone Scholarship,2750000
HIGHER EDUCATION,CUNY,Center for Puerto Rican Studies,470000
HIGHER EDUCATION,CUNY,Murphy Institute Center for Worker Education,250000
HIGHER EDUCATION,DOE,Peter Vallone Scholarship –FIT,250000
HOMELESS SERVICES,DHS,Adult Rental Assistance Program,900000
HOMELESS SERVICES,DHS,Citywide Homeless Prevention Fund,250000
