item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,006,1,"April 15, 2018; July 1, 2017; March 31, 2018",,"As a condition of the funds in unit of appropriation 006, the Administration for Children’s Services shall submit to the Council , no later than April 15, 2018 , a report detailing the number of youth aging out of foster care. Such report shall also include, if known, the number of youth aging out of foster care who also enter publicly funded shelters in the Department of Homeless Services and shall cover the period of July 1, 2017 through March 31, 2018."
2,Capital Budget,,All Project Lines – All Projects,1,,,"Where the Commissioner of the appropriate agency determines to change the project location for projects in the capital budget funded by Council Member discretionary funding, such Commissioner shall notify the affected Council Member prior to implementing such determination."
3,Capital Budget,,All Project Lines – All Projects,1,,,"The appropriations for all projects in the capital budget shall be administered under, and in accordance with, the appropriate provisions of the New York City Charter and the Administrative Code. Each agency shall be required to ensure with regard to each project under its jurisdiction that the City’s Financial Management System is adequately updated with project milestones and explanations for any delays in the schedules of each project."
4,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2017",,"In relation to the funding in budget line HA -0001 for the Mayor’s Action Plan (“MAP”) for Neighborhood Safety at the New York City Housing Authority (“NYCHA”), NYCHA shall provide to the City Council, no later than December 31, 2017, a report detailing the categories of physical improvements made with the MAP funding, the number of each type of improvement that has been completed or for which construction has begun, and the location of each improvement completed or for which construction has begun."
5,Capital Budget,,Budget Line HA-0001 – All Projects,1,"December 31, 2017; January 1, 2018; January 15, 2018; July 1, 2017; July 15, 2018; June 30, 2018","July 1, 2017 to December 31","In relation to the funding in budget line HA-0001 for building facades, the New York City Housing Authority shall submit to the Council semi-annual reports regarding sidewalk shedding. Such reports shall include the amount of sidewalk shedding removed (in terms of feet and miles) and the amount of sidewalk shedding installed (in terms of feet and miles) that has been installed, disaggregated by development. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2018 and shall cover the period beginning July 1, 2017 and ending December 31, 2017. The second report shall be submitted no later than July 15, 2018 and shall cover the period beginning January 1, 2018 and ending June 30, 2018."
6,Department for the Aging,125,002; 003,2,"April 15, 2018; July 1, 2017; March 31, 2018",,"As a condition of the funds in units of appropriation numbers 002 and 003, the Department for the Aging shall submit to the Council, no later than April 15, 2018, a report on senior center utilization, attendance, and meals served. Such report shall contain the average daily attendance, average number of meals served daily, and utilization rate of senior centers, disaggregated by Innovative Senior Centers and Neighborhood Senior Centers. Such report shall cover the period between July 1, 2017 and March 31, 2018."
7,Department for the Aging,125,002; 003,2,"April 15, 2018; July 1, 2017; March 31, 2018",,"As a condition of the funds in units of appropriation numbers 002 and 003, the Department for the Aging shall submit to the Council, no later than April 15, 2018, a report on the demographics of individuals utilizing senior centers, as practicable, including gender, age, race (American Indian, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White) and ethnicity (Hispanic, Latino, or Spanish), disaggregated by Innovative Senior Centers and Neighborhood Senior Centers. Such report shall cover the period between July 1, 2017 and March 31, 2018."
8,Department of City Planning,030,001,1,,,"As a condition of the funds in unit of appropriation 001, the Department of City Planning shall, within forty-five (45) days of the completion of a neighborhood rezoning, submit a report to the Council on the amount of funds remaining in the Neighborhood Development Fund."
9,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2017",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction shall submit a report, no later than October 15, 2017, detailing the demographics of uniformed personnel, including gender, race (American Indian, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White) and ethnicity (Hispanic, Latino, or Spanish). Such information shall be disaggregated by rank, gender, race and ethnicity."
10,Department of Correction,072,002; 003,2,"December 31, 2017; January 1, 2018; July 15, 2018; June 30, 2018","July 1, 201 7 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction shall provide semi-annual headcount reports to the Council detailing the number of uniform officers that perform duties that do not require uniformed expertise or other duties traditionally and primarily performed by civilian employees. Such report shall be disaggregated by rank, and shall include the salary range, the average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 201 8 and shall cover the period beginning July 1, 201 7 and ending December 31, 2017. The second report shall be submitted on or before July 15, 2018 and shall cover the period beginning January 1, 2018 and ending June 30, 2018."
11,Department of Correction,072,001; 002; 003; 004,4,"July 1, 2017; July 15, 2018; June 30, 2018",,"As a condition to the expenditure of funds appropriated to the unit of appropriation numbers 001, 002, 003, and 004, the Department shall ensure that a component of an inmate's discharge plan shall be to inform them of the process of o btaining a birth certificate. The Department shall also provide to the Council a report , no later than July 15, 2018 , detailing: 1) the number of inmates who have requested a copy of their certified birth certificate within two weeks prior to release from custody; 2) the number of certified birth certificates that were provided pursuant to such request; and 3) the number of requests made to the Department of Health and Mental Hygiene in accordance with such request. Such information shall include: 1) the number of inmates who were denied a certified copy of their birth certificate; 2) the reason for such denial; and 3) the number of inmates who received a copy of their certified birth certificate prior to release. The data provided shall be applicable to any person born in New York City and sentenced to ninety days or more in a New York City correctional facility who will serve, after sentencing, thirty days or more in a New York City correctional facility. Such report shall cover the period of July 1, 2017 through June 30, 2018."
12,Department of Education,040,401; 403; 453,3,,,"As a condition of the funds in unit of appropriation numbers 401, 403, and 453 for the Public School Athletic League (“PSAL”), the Department of Education shall provide a report to the City Council, no later than April 1, 201 8, listing each sports team that received funding for the 201 7- 2018 school year. Such list shall be disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) sport season; 6) league (i.e. PSAL, Small Schools Athletic League (“SSAL”), or transfer); and 7) amount of funding provided by PSAL for each team. Such report shall also include a list of all teams that were rejected by PSAL for for mation in the 2016 -2017 school year, disaggregated by 1) sport; 2) gender; 3) school name; 4) school DBN; 5) league; and 6) reason for denial. The report shall also include a breakdown of PSAL’s total funding (not including funding provided for teams) by PS and OTPS."
13,Department of Education,040,406,1,"December 1, 2017; June 1, 2018",,"As a condition of the funds in unit of appropriation number 406, the Department of Education shall provide a semi-annual list to the City Council detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Educati on students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education st udents further disaggregated by tuition payment category. Such list shall be provided to the Council on December 1, 2017 and June 1, 2018."
14,Department of Education,040,All,1,,,"As a condition of this appropriation, the Department of Education shall issue the Financial Status Report for the following dates: Financial Status Report Report Content Anticipated Meeting Date Issue Date September 2017 FY18 FSROpening Condition TBD TBD October 2017 FY17 Year-End Close TBD TBD December 2017 FY18 FSR update; FY18 November Plan Summary TBD TBD February 2018 FY18 FSR update, including Fiscal Analysis; FY18 Preliminary Budget Summary TBD TBD March 2018 FY18 FSR update TBD TBD May 2018 FY18 FSR update; FY19 Executive Budget Summary TBD TBD"
15,Department of Education,040,401; 403; 407; 409; 481,5,"December 31, 2017; January 1, 2018; January 15, 2018; July 1, 2017; July 15, 2018; June 30, 2018","July 1, 2017 to December 31","As a condition of the funds in unit of appro priation numbers 401, 403, 407, 409, and 481 the Department shall provide semi-annual headcount reports to the Council that lists school -based staff by title and Borough Field Support Center -based staff by title. Additionally, the Dep artment must report on staff by title for all pre-kindergarten staff in Department of Education facilities and nonDepartment of Education facilities. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2018 and shall cover the period beginning July 1, 2017 and ending December 31, 2017. The second report shall be submitted on or before July 15, 2018 and shall cover the period beginning January 1, 2018 and ending June 30, 2018."
