resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,,"Van Bramer Jacob A. Riis Neighborhood Settlement, Inc.",Friends of Queensbridge Park,111729398,-3500,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,,"Van Bramer Jacob A. Riis Neighborhood Settlement, The",Friends of Queensbridge Park,111729398,3500,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,,"Constantinides Jacob A. Riis Neighborhood Settlement, Inc.",Immigrant Services,111729398,-10000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,,"Constantinides Jacob A. Riis Neighborhood Settlement, The",Immigrant Services,111729398,10000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Brannan,Wildcat Service Corporation,Neighborhood Improvement Program,132725423,-50000,DYCD,260,005,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Metro Chamber Orchestra, Inc.",,473034551,2500,DYCD,260,005,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"NIA Community Services Network, Inc.",,112697931,15000,DCLA,126,003,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Midtown Management Group, Inc.",,133192793,20000,DCLA,126,003,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"68th Precinct Community Council, Inc.",,203970147,2500,NYPD,056,100,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Brooklyn Chinese-American Association, Inc.",,113065859,4000,DFTA,125,003,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Brooklyn Chinese-American Association, Inc.",,113065859,3000,DYCD,260,312,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Homecrest Community Services, Inc.",,113373115,3000,DFTA,125,003,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Brannan,"Perkins Hot Bread Kitchen, Ltd.",Bakers in Training,263332972,-3000,DYCD,260,005,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,"Perkins Hot Bread Kitchen, Ltd.",Bakers in Training,263332972,3000,SBS,801,002,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Brannan,"Cabrera Good Shepherd Services, Inc.",Precinct Council,135598710,-15000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,Cabrera Good Shepherd Services,Precinct Council,135598710,15000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Brannan,"King Good Shepherd Services, Inc.",Bronx RIses Against Gun Violence,135598710,-10000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Brannan,King Good Shepherd Services,Bronx RIses Against Gun Violence,135598710,10000,DYCD,260,005,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Speaker,"Good Shepherd Services, Inc.",,135598710,-25000,DYCD,260,312,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Speaker,Good Shepherd Services,,135598710,25000,DYCD,260,312,,
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Speaker,"Rodriguez Marble Hill Resident Council, Inc.",,824023829,-5000,DYCD,260,005,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Speaker,Rodriguez New York City Housing Authority,,136400434,5000,HPD,806,012,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,rescind,,Speaker,"Deutsch Jewish Community Council of Greater Coney Island, Inc.",,112665181,-6000,DFTA,125,003,,**
1,2018-07-18,Local Initiatives - Fiscal 2019,2019,designate,,Speaker,"Deutsch Jewish Community Council of Greater Coney Island, Inc.",,112665181,6000,DYCD,260,312,,**
