part,agency,budget_line,sub_id,boro,fy1,fy2,fy3,fy4,sponsor,title,building_code,school_code
I,AGING,AG CN001,AG D001,M,200000,0,0,0,RODRIGUEZ,DEPARTMENT OF AGING - KITCHEN FOR ARC XVI FORT WASHINGTON SENIOR CENTER,,
I,AGING,AG NC002,AG DN663,Q,500000,0,0,0,LANCMAN,INDIA HOME - PURCHASE A NEW PROPERTY,,
I,AGING,AG NC902,AG DN663,Q,273000,0,0,0,"SPEAKER LANCMAN, MILLER",INDIA HOME REAL PROPERTY ACQUISTION.,,
I,AGING,HR CN001,AG D001,Q,50000,0,0,0,RICHARDS,ROY REUTHER NEIGHBORHOOD SENIOR CENTER,,
I,AGING,HR CN002,AG D001,Q,50000,0,0,0,RICHARDS,ROBERT COUCHE SENIOR CENTER,,
I,AGING,HR CN003,AG DN02E,M,100000,0,0,0,JOHNSON,ENCORE COMMUNITY SERVICES INC. - SENIOR CENTER MOBILE VANS,,
I,AGING,HR NC003,AG DN950,K,52000,0,0,0,BRANNAN,BAY RIDGE CENTER VEHICLE PURCHASE,,
I,AGING,HR NC008,AG DN191,X,165000,0,0,0,AYALA,INSTITUTE FOR THE PUERTO RICAN/HISPANIC ELDERLY VEHICLE PURCHASE,,
I,AGING,PW NC023,AG DN903,K,192000,0,0,0,CUMBO,SERVICES & ADVOCACY FOR GAY LESBIAN BISEXUAL & TRANSGENDER ELDERS,,
I,AGING,RE NC001,AG DN663,Q,250000,0,0,0,RICHARDS,INDIA HOME,,
I,CHILDREN SERVICES,PW NC030,CS DN312,M,1110000,0,0,0,"PERKINS, SPEAKER","NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",,
I,CHILDREN SERVICES,PW NC907,CS DN312,M,500000,0,0,0,"AYALA, MANHATTAN DELEGATION, SPEAKER,",NORTHSIDE CENTER FOR CHILD DEVELOPMENT - DAY SCHOOL INITIAL OUTFITTING PERKINS,,
I,EDUCATION,E CN001,E D001,Q,102000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES FOR Q686/Q233,,
I,EDUCATION,E CN002,E D001,Q,960000,0,0,0,KOSLOWITZ,SUPPLEMENTAL COOLING SHORTFALL Q144/Q144,,
I,EDUCATION,E CN003,E D001,Q,150000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES FOR Q686/Q686,,
I,EDUCATION,E CN004,E D001,Q,250000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES FOR Q190/Q190,,
I,EDUCATION,E CN005,E D001,Q,200000,0,0,0,KOSLOWITZ,GREEN ROOF SHORTFALL Q686/Q167,,
I,EDUCATION,E CN006,E D001,Q,258000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES FOR Q139/Q139,,
I,EDUCATION,E CN007,E D001,Q,55000,0,0,0,KOSLOWITZ,TECHNOLOGY PURCHASES FOR Q051/Q051,,
I,EDUCATION,E CN008,E D001,Q,70000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES FOR Q054/Q054,,
I,EDUCATION,E CN009,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q101/Q101,,
I,EDUCATION,E CN010,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q139/Q139,,
I,EDUCATION,E CN011,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q175/Q175,,
I,EDUCATION,E CN012,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q206/Q206,,
I,EDUCATION,E CN013,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q220/Q220,,
I,EDUCATION,E CN014,E D001,Q,100000,0,0,0,KOSLOWITZ,BATHROOM RENOVATIONS FOR Q051/Q051,,
I,EDUCATION,E CN015,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q099/Q099,,
I,EDUCATION,E CN016,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q101/Q101,,
I,EDUCATION,E CN017,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q139/Q139,,
I,EDUCATION,E CN018,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q174/Q174,,
I,EDUCATION,E CN019,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q175/Q175,,
I,EDUCATION,E CN020,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q206/Q206,,
I,EDUCATION,E CN021,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q157/Q157,,
I,EDUCATION,E CN022,E D001,Q,50000,0,0,0,KOSLOWITZ,NEW WATER FOUNTAINS AT Q190/Q190,,
I,EDUCATION,E CN023,E D001,Q,250000,0,0,0,KOSLOWITZ,TECHNOLOGY UPGRADES AT Q440/ Q440,,
I,EDUCATION,E CN024,E D001,Q,250000,0,0,0,RICHARDS,FREDRICK DOUGLAS ACADEMY VI HIGH SCHOOL (FAR ROCKAWAY HIGH SCHOOL CAMPU,,
I,EDUCATION,E CN025,E D001,Q,450000,0,0,0,RICHARDS,"GEORGE WASHINGTON CARVER HIGH SCHOOL (BLDG Q420, ORG Q272)",,
I,EDUCATION,E CN026,E D001,Q,250000,0,0,0,RICHARDS,PENINSULA PREPARTORY ACADEMY CHARTER SCHOOL,,
I,EDUCATION,E CN027,E D001,Q,500000,0,0,0,RICHARDS,BEACH CHANNEL HIGH SCHOOL (BUILDING ID Q410),,
I,EDUCATION,E CN028,E D001,Q,150000,0,0,0,RICHARDS,"P.S 251Q (Q151, Q251)",,
