member,organization,program,ein,amount,purpose
Brooks-Powers,"100 Suits for 100 Men, Inc.",Council District 31,462971279,7000,"Funding is to support services to seniors, including meal delivery, hair cuts, visits and social and community events in Council District 31."
Stevens,"1332 Fulton Avenue Day Care Center, Inc.",G.R.A.N.N.Y Program,132690309,20000,"Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within Council District 16."
Bottcher,"Actors Fund of America, The",,131635251,5000,To support programs serving seniors in the performing arts and entertainment community.
Yeger,"Agudath Israel of America Community Services, Inc.",,133975090,25000,"Funds will be used for printing of newsletters, exercise programs, and recreational excursions. Also funds will support Brookdale Senior Center."
Gennaro,"Agudath Israel of America Community Services, Inc.",Council District 24,133975090,16000,The purpose of this funding is to help subsidize operational and programming costs.
De La Rosa,"Agudath Israel of America Community Services, Inc.",Moriah Senior Center,133975090,10000,To support programming for Moriah Senior Center.
Joseph,"Agudath Israel of America Community Services, Inc.",Senior Programming - Council District 40,133975090,20000,"Funds will support arts and crafts, congregate lunch, tai chi, aerobics, special seasonal/holiday events and other senior center costs."
Williams,"Allen Community Senior Citizens Center, Inc.",,112326244,45000,"Funding will support health programming, recreational activities, and offset staffing costs."
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,24000,"Funding is to support virtual and recreational programming, and food services at the senior center."
Brooks-Powers,"Allen Community Senior Citizens Center, Inc.",Council District 31,112326244,6000,"Funding will support senior socialization programs including, virtual programs and materials and resources for arts programming in Council District 31."
Gennaro,"Allen Community Senior Citizens Center, Inc.",Shelton House Senior Center,112326244,5000,Funding will support operational costs associated with transportation and activities for the senior center at Shelton Houses.
Velazquez,Allerton Avenue Homeowners and Tenants Association,,133101238,10000,"To support the senior center and its educational, recreational and information services."
Williams,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,"Funds will be used to senior district-based programming, office supplies, Physical/Health exercise equipment for members and general operational expense."
Brooks-Powers,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 31,237436147,7000,Funding will support programmatic resources and senior services for the seniors Council District 31.
Hudson,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - MedicAlert NYC Wanderer's Safety Program",133277408,5000,Funding to support Medic Alert NYC and Wanderers Safety program.
Brannan,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - Safety Intervention & Outreach for Alzheimer's Patients",133277408,5000,"Funding to support CaringKind's Medic Alert, NYC Wanderer's Safety Program and Community Outreach in Council District 43."
Yeger,"American-Italian Coalition of Organizations, Inc.",,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes. Appendix A: Aging Discretionary Page 2 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Hanif,"American-Italian Coalition of Organizations, Inc.",Eileen C Dugan Amico Senior Center,112488439,9000,"To support older adult services at the Eileen C Dugan Amico Senior Center in Carroll Gardens including internet and phone connections, office and activity supplies and household supplies."
Abreu,"ARC XVI Fort Washington, Inc.",Senior Citizen Transit - Council District 7,132745426,10000,To fund senior transportation program and associated costs.
De La Rosa,"ARC XVI Fort Washington, Inc.",Transportation Services - Council District 10,132745426,15000,"To support Transportation Services in Council District 10 to provide expanded access to medical appointments, COVID testing, Vaccination sites, mental health services, and social trips with additional part-time drivers' hours."
Vernikov,"Art for Charity Association, Inc.",,822103220,10000,"Funding will be used for programs for Holocaust Survivors and WWII veterans including food distributions, holiday celebrations and other events; home visits to provide social and emotional support."
Gennaro,"Asian Americans For Equality, Inc.",,133187792,10000,Funding to support senior programming including intervention and immigrant services.
Holden,"Association of Community Employment Programs for the Homeless, Inc.",Senior Snow Removal & Cleanup,133846431,5000,Funds to support snow removal for senior citizens in Council District 30 and Cleanup.
Vernikov,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,"Funding to support cultural and educational lectures, movies, food distribution and excursions for Holocaust survivors."
Brooks-Powers,"Bartlett Foundation, The",Council District 31,900952784,5000,Funds to be used to assist in senior and veteran community engagement and recognition efforts in Council District 31.
Brannan,"Bay Ridge Center, Inc.",Senior Services & Programming,800559714,8500,"To support operating expenses associated with senior services programming, including events, case management and meal program."
Kagan,"Be Proud, Inc.",Senior Program - Council District 47,582674169,9000,Funds will be used to engage our seniors in intergenerational cultural activities.
Dinowitz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Access to Critical Services for Seniors,132745303,10000,"Funding for basic direct health services, provide education, counseling around prevention and management of chronic diseases in Council District 11."
Feliz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Senior Center Programs & Enhancements,132745303,15000,"Funding will go towards contracting personnel, caretakers and senior Services."
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Abe Stark Senior Center,113199040,11500,Funds will be used to support programming and services at the Abe Stark Senior Center in 42nd Council District.
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Mill Basin Senior Program,113199040,40000,Funding to provide senior educational and recreational activities and services.
