member,organization,program,ein,amount,purpose
Sanchez,1199 SEIU Employer Child Care Corporation,FALC STEAM Science Fair & Curriculum,134063281,5000,Funds will be used to support Future of America Learning Center's science fair event including supplies and curriculum for students leading up to the event.
Riley,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,10000,Funds to be used for the Future of America Learning Center (FALC).
Joseph,1199 SEIU Employer Child Care Corporation,Youth Programming - Council District 40,134063281,10000,Funds will be used to provide assistance and college readiness to youth in Council District 40.
Jordan,120 Marcus Meets Malcolm,,852786614,15000,Funding will support services for youth in the Harlem community.
Joseph,360 Academic Sports Academy,Youth Activities - Council District 40,852677647,7000,"Funding will support a free year-around athletic training and academic enrichment program, including a six-week full day summer camp, school year afterschool and Saturday program."
Louis,"67th Precinct Clergy Council, Inc.",Council District 45,274581070,5000,Funds will support Flatbush Leadership Academy who will provide life changing opportunities for at risk youth to grow as individuals and acquire skills that will allow them to reach their highest potential in Council District 45.
Krishnan,82nd Street Academics,Renaissance Charter Afterschool,200788352,40000,To support after-school program at the Renaissance Charter School.
Brooks-Powers,"A Better Jamaica, Inc.",Council District 31,113804421,5000,Funding to support Jamaica Reads program for students in Council District 31.
Marte,"A Place for Kids, Inc.",Council District 1,133624631,7000,Funding to support education programs for at risk students in schools within Council District 1.
Rivera,"A Place for Kids, Inc.",Public School 034M Franklin D. Roosevelt (01M034) Afterschool,133624631,5000,Funds will support A Place for Kids afterschool programming at PS 34.
Brooks-Powers,"A Vision To Empower, Inc.",Council District 31,830703792,5000,Funding will support youth mentoring programming in Council District 31.
Bottcher,"Abundant Waters, Inc.",,133706659,10000,Funds will support one on one tutoring services.
Mealy,Adelaide Sanford Institute,Parent Leadership Academy & Youth Educational Initiatives,270589817,10000,"Funds will support a borough-wide oratory contest and artists' exhibition for Elementary, Junior High and High School students."
Aviles,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funds will support the Jill Chaifetz Education Helpline to assist parents in all five boroughs who are trying to help their children with schoolwork.
Ayala,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,To provide funding to Jill Chaifetz Education helpline to assist parents and guardians with school-related issues.
Brewer,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funding will support the Parent Education Helpline.
Hanif,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,"To support operation of Jill Chaifetz Education Helpline which provides free consultation on almost any school-related issue, including, for example, transfers, special education, access to remote instruction, or suspensions."
Rivera,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,Funds will support the operations of the Jill Chaifetz Education Helpline.
Stevens,"AIMHigh Empowerment Institute, Inc.",AIMHIGH School Programs - Council District 16,813143733,15000,Funds will be used to support AIMHIGH outreach and programming in Council District 16. Appendix C: Youth Discretionary Page 148 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Stevens,"AIMHigh Empowerment Institute, Inc.",Gun Violence Prevention Taskforce,813143733,5000,Funds will support engagement of Council District 16 youth in the Gun Violence Prevention Taskforce.
