category,initiative,award_type,member,organization,program,ein,amount,agency,purpose
ANTI-POVERTY,,member_item,Aviles,Academy of Medical and Public Health Services,FoodCare Food Pantry & Nutrition Education Initiative,272206293,10000,DYCD,"Funds will support culturally-appropriate food, nutrition education, and social service resources to families."
ANTI-POVERTY,,member_item,Yeger,"Agudath Israel of America Community Services, Inc.",COPE Workforce Development,133975090,15000,DYCD,Funds will be used for COPE Workforce Development.
ANTI-POVERTY,,member_item,Farias,Albanian & American Open Hand Association,Council District 18,464607518,7500,DYCD,Funding to provide food and clothing distributions in Council District 18.
ANTI-POVERTY,,member_item,Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,6500,DFTA,"Funding is to support virtual and recreational programming, and food services at the senior center."
ANTI-POVERTY,,member_item,Ariola,Alphapointe,,440552486,12500,DYCD,"Funding to support operational expenses associated with assessment, skills development training and programming for the visually impaired and blind."
ANTI-POVERTY,,member_item,Paladino,American-Italian Cancer Foundation,Breast Cancer Outreach & Patient Navigation Program,133035711,10000,DHMH,"Funds will support Breast Cancer Outreach, Education, and Navigation Program which brings medically under-served NYC women into screening each year."
ANTI-POVERTY,,member_item,Sanchez,Animal Care and Control of New York City,Council District 14,133788986,5000,DHMH,To support the community pets mobile services in Council District 14.
ANTI-POVERTY,,member_item,Kagan,"Apna Brooklyn Community Center, Inc.",Food Distribution - Council District 47,820706930,10000,DYCD,Funds will be used for food distribution to low income families in Council District 47.
ANTI-POVERTY,,member_item,Joseph,"Arab American Association of New York, Inc.",Workforce Development & Economic Empowerment for MENA & AAPI Communities,113604756,5000,DYCD,Funds will be used to provide workforce development services to residents in Council District 40.
ANTI-POVERTY,,member_item,Hanif,"Arab-American Family Support Center, Inc., The",,113167245,5000,DYCD,Funds will support backpack distribution for families with students in need.
ANTI-POVERTY,,member_item,Gennaro,"Asian Americans For Equality, Inc.",Chamber On The Go,133187792,15000,SBS,Funding to support the Small Business Development program to provide business assistance and development services focusing on emerging communities with high concentrations of minorities and immigrants.
ANTI-POVERTY,,member_item,Ayala,"Asian Americans For Equality, Inc.",Food Pantry,133187792,10000,DYCD,To support the food pantry.
ANTI-POVERTY,,member_item,Marte,"Asian Americans For Equality, Inc.",Manhattan Based Community Service - Council District 1,133187792,5000,DYCD,To support programming an operational expenses of AAFE in Council District 1.
ANTI-POVERTY,,member_item,Brannan,"Asiyah Women's Center, Inc.",Social Services - Council District 43,832104070,10000,DYCD,"To support social work, case management, and other holistic supportive services for people in need in Council District 43, including survivors of domestic violence from under-resourced communities."
ANTI-POVERTY,,member_item,Riley,Astor Services for Children & Families,Council District 12,141397918,15000,DHMH,Funds to be used to provide basic need items to families in Council District 12.
ANTI-POVERTY,,member_item,Ayala,"Bailey House, Inc.",Family Support Program - Schafer Hall,133165181,5000,DHMH,To support on and off-site services and recreational activities for the Family Support
ANTI-POVERTY,,member_item,Program,"at Schafer Hall. Adams Bangladeshi American Society, Inc.",,852723489,6000,DYCD,Funds will support community outreach efforts in civic and social needs.
ANTI-POVERTY,,member_item,Brooks-Powers,"Battalion Pentecostal Assembly, Inc.",Council District 31,364391337,10000,DYCD,"Funds are to be used for program support in Council District 31, regarding STEM education and financial literacy."
ANTI-POVERTY,,member_item,Osse,Bedford Central Presbyterian Church,,111660857,5000,DYCD,"Funding for hot meals distribution, nutritional workshops, and pantry programs in District 36."
ANTI-POVERTY,,member_item,Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Youth Sports Clinic - Council District 46,113199040,10000,DYCD,Funding to support the provision of sports clinic for youth in Council District 46.
ANTI-POVERTY,,member_item,Stevens,"Bible Church of Christ, Inc., The",Community Programming - Council District 16,126186140,10000,DYCD,"Funds will be used to support the ongoing distribution of food, goods and other social services in Council District 16"
ANTI-POVERTY,,member_item,Louis,"Birch Family Services, Inc.",Council District 45,112503193,5000,DHMH,"Funds will be utilized to help cover the administrative, operational and staffing costs associated with operating youth programs"
ANTI-POVERTY,,member_item,Brannan,"Black Veterans for Social Justice, Inc.",Social Services for Homeless & At-Risk Veterans,112608983,5000,DYCD,"To support outreach, case management, housing assistance, and homelessness prevention services for homeless and at-risk veterans and community members in Brooklyn."
ANTI-POVERTY,,member_item,Marte,"Blue Card, Inc., The",Holocaust Survivor Assistance Program,131623910,5000,DFTA,"To support assistance programs, which helps Holocaust survivors in need access resources to meet their basic human needs, including food, rent, utilities, medicine, and socialization."
ANTI-POVERTY,,member_item,De La Rosa,"Blue Card, Inc., The",Holocaust Survivor Assistance Program - Council District 10,131623910,10000,DFTA,To support Blue Card Programming in Council District 10.
ANTI-POVERTY,,member_item,Louis,"B'nai B'rith Hillel Foundation, Inc.",Council District 45,116036253,5000,DYCD,After School Program for the kids from the Homeless Shelter and Thanksgiving for Homeless New Yorkers in Council District 45.
ANTI-POVERTY,,member_item,Velazquez,BOOM!Health,,133599121,10000,DHMH,Funds will support Boom! Health's viral hepatitis C program.
ANTI-POVERTY,,member_item,Hudson,"BRIC Arts Media Brooklyn, Inc.",Community Adult & Youth Media Program - District 35,112547268,10000,DCLA,Funding to support Adult and Youth Media Program at BRIC.
ANTI-POVERTY,,member_item,De La Rosa,"Broadway Housing Communities, Inc.",Tenant Services & Youth Leadership Institute,133212867,5000,HPD,To support Broadway Housing's Tenant Services.
