organization,budget_line,fy1,fy2,fy3,fy4
92ND STREET YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION (YM&YWHA),PV 0N004,500000,0,0,0
92ND STREET YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION (YM&YWHA),PV DN004,1000000,0,0,0
"AFRO LATIN JAZZ ALLIANCE OF NEW YORK, INC.",PV 0N991,3000000,0,0,0
"AFRO LATIN JAZZ ALLIANCE OF NEW YORK, INC.",PV DN991,4000000,0,0,0
AMERICAN BALLET THEATER FOUNDATION,PV 0N205,1500000,0,0,0
"AN CLAIDHEAMH SOLUIS, INC. / IRISH ARTS CENTER",PV 0N195,4000000,0,0,0
"AN CLAIDHEAMH SOLUIS, INC. / IRISH ARTS CENTER",PV DN195,100000,0,0,0
"APERTURE FOUNDATION, INC.",PV DN04Z,150000,0,0,0
APOLLO THEATER FOUNDATION,PV DN027,2500000,0,0,0
"ARAB AMERICAN ASSOCIATION OF NEW YORK, INC.",HR DN06A,1255000,0,0,0
ARMORY FOUNDATION,PW DN246,1271000,0,0,0
ASIA SOCIETY,PV 0N06W,894000,0,0,0
"ASSOCIATION OF COMMUNITY EMPLOYMENT PROGRAMS FOR THE HOMELESS, INC.",PW DN984,193000,0,0,0
"BAY RIDGE CENTER, INC.",AG DN950,100000,0,0,0
"BAY RIDGE COMMUNITY DEVELOPMENT CENTER, INC.",ED DN05P,0,6000000,0,0
BOYS AND GIRLS CLUB OF HARLEM,ED DN056,56000,0,0,0
BROOKLYN CONSERVATORY OF MUSIC (BKCM),PV 0N922,2000000,0,0,0
BROOKLYN CONSERVATORY OF MUSIC (BKCM),PV DN922,2200000,0,0,0
BROOKLYN MUSIC SCHOOL,PV 0N075,1000000,0,0,0
BROOKLYN MUSIC SCHOOL,PV DN075,500000,0,0,0
CATHEDRAL CHURCH OF ST. JOHN THE DIVINE,ED DN06J,1500000,0,0,0
"CHASHAMA, INC.",PV DN01Y,123000,0,0,0
CHILDREN'S MUSEUM OF MANHATTAN,PV 0N099,1000000,0,0,0
CHILDREN'S MUSEUM OF MANHATTAN,PV DN099,4575000,0,0,0
"COMMUNITY HEALTH CENTER OF RICHMOND, INC.",HL DN03Z,4000000,0,0,0
COMMUNITY HEALTHCARE NETWORK,HL DN561,1000000,0,0,0
CULTURAL MUSEUM OF AFRICAN ART (CMAAEEC),PV 0N06P,0,5000000,0,0
"DIA CENTER FOR THE ARTS, INC.",PV DN814,70000,0,0,0
DOWNTOWN COMMUNITY TELEVISION CENTER (DCTV),PV 0N132,400000,0,0,0
DOWNTOWN COMMUNITY TELEVISION CENTER (DCTV),PV DN132,100000,0,0,0
"EAST RIVER DEVELOPMENT ALLIANCE, INC.",ED DN06G,467000,0,0,0
ELAINE KAUFMAN CULTURAL CENTER,PV 0N143,1000000,0,0,0
ELAINE KAUFMAN CULTURAL CENTER,PV DN143,75000,0,0,0
FORDHAM UNIVERSITY - CENTER FOR COMMUNITY ENGAGED LEARNING (CCEL),ED DN06L,1136000,0,0,0
GAY MEN'S HEALTH CRISIS (GMHC),PW DN200,195000,0,0,0
"GLOBAL KIDS, INC.",CS DN06B,92000,0,0,0
"GREENWICH HOUSE, INC.",PV 0N420,2500000,0,0,0
GUGGENHEIM MUSEUM,PV 0N176,481000,0,0,0
GUGGENHEIM MUSEUM,PV DN176,321000,0,0,0
"HALEAKALA, INC. D/B/A THE KITCHEN",PV 0N424,250000,0,0,0
"HALEAKALA, INC. D/B/A THE KITCHEN",PV DN424,50000,0,0,0
"HARLEM STAGE INC. FORMERLY AARON DAVIS HALL, INC.",PV DN829,50000,0,0,0
"HASC DIAGNOSTIC AND TREATMENT CENTER, INC.",HL DN01D,747000,0,0,0
HENRY STREET SETTLEMENT,PV DN653,300000,0,0,0
HISPANIC FEDERATION,PW DN208,350000,0,0,0
INDIESPACE DBA INDIE THEATER FUND,PV 0N05N,1100000,0,0,0
INDIESPACE DBA INDIE THEATER FUND,PV DN05N,1013000,0,0,0
INTERFAITH MEDICAL CENTER,HL DN192,418000,0,0,0
ISSUE PROJECT ROOM,PV 0N028,3000000,0,0,0
JACQUES MARCHAIS MUSEUM OF TIBETAN ART,PV 0N860,302000,0,0,0
JACQUES MARCHAIS MUSEUM OF TIBETAN ART,PV DN860,302000,0,0,0
JAMAICA HOSPITAL MEDICAL CENTER,HL DN202,100000,0,0,0
JAZZ AT LINCOLN CENTER,PV DN204,75000,0,0,0
"JEWISH CHILD CARE ASSOCIATION OF NEW YORK, INC. (JCCA)",CS DN207,145000,0,0,0
JEWISH CHILDREN'S MUSEUM,PV DN209,9722000,0,0,0
JOYCE THEATER,PV 0N222,10500000,0,0,0
JOYCE THEATER,PV DN222,6000000,0,0,0
"KINGSBRIDGE HEIGHTS COMMUNITY CENTER, INC.",PW DN792,110000,0,0,0
LIFE OF HOPE CENTER (LOHC),HR DN05J,1400000,0,0,0
"L'REFUAH MEDICAL AND REHABILITATION CENTER, INC. DBA EZRA MED CENTER",HL DN150,670000,0,0,0
LUCILLE LORTEL THEATRE FOUNDATION INC.,PV 0N05B,2500000,0,0,0
LUCILLE LORTEL THEATRE FOUNDATION INC.,PV DN05B,100000,0,0,0
MAIMONIDES MEDICAL CENTER,HL DN254,1655000,0,0,0
MARTIN DE PORRES YOUTH AND FAMILY SERVICES,HR DN06U,117000,0,0,0
"MEKONG, INC.",ED DN06T,600000,0,0,0
MET COUNCIL ON JEWISH POVERTY,AG DN262,180000,0,0,0
METROPOLITAN OPERA ASSOCIATION,PV 0N263,1200000,0,0,0
MIND-BUILDERS CREATIVE ARTS CENTER,PV DN266,300000,0,0,0
"MIXTECA ORGANIZATION, INC.",HR DN05V,1250000,0,0,0
MONTEFIORE HOSPITAL,HL DN267,600000,0,0,0
MOUNT SINAI HOSPITAL,HL DN273,255000,0,0,0
NATIONAL BLACK THEATER,PV 0N285,600000,0,0,0
NATIONAL BLACK THEATER,PV DN285,175000,0,0,0
NATIONAL SEPTEMBER 11 MEMORIAL AND MUSEUM AT THE WORLD TRADE,PV DN05C,210000,0,0,0
NEW 42ND STREET INC.,PV 0N290,500000,0,0,0
NEW 42ND STREET INC.,PV DN290,450000,0,0,0
