part,agency,budget_line,sub_id,boro,fy1,fy2,fy3,fy4,sponsor,title,building_code,school_code,action
I,DEPARTMENT FOR THE AGING,AG-DN06Y,,,124000,0,0,0,,"(NEW PROJECT) CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR VISION URBANA.",,,
I,DEPARTMENT FOR THE AGING,AG-DN262,,,180000,0,0,0,,"CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR THE MET COUNCIL ON JEWISH POVERTY.",,,"ELIMINATE, SUBSTITUTE"
I,DEPARTMENT FOR THE AGING,AG-DN950,,,100000,0,0,0,,"CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR BAY RIDGE CENTER, INC.",,,"ELIMINATE, SUBSTITUTE"
I,ADMIN FOR CHILDREN'S SERVICES,CS-DN05H,,,680000,0,0,0,,"CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR ST.FRANCIS DE SALES SCHOOL FOR THE DEAF (SFDS).",,,"ELIMINATE, SUBSTITUTE"
I,ADMIN FOR CHILDREN'S SERVICES,CS-DN06B,,,92000,0,0,0,,"(NEW PROJECT) CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR GLOBAL KIDS, INC.",,,
I,ADMIN FOR CHILDREN'S SERVICES,CS-DN207,,,145000,0,0,0,,"CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR THE JEWISH CHILD CARE ASSOCIATION OF NEW YORK, INC. (JCCA).",,,"ELIMINATE, SUBSTITUTE"
I,ADMIN FOR CHILDREN'S SERVICES,CS-DN312,,,282000,0,0,0,,"CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR THE NORTHSIDE CENTER FOR CHILD DEVELOPMENT.",,,"ELIMINATE, SUBSTITUTE"
I,EDUCATION,E-D001,,,223406000,0,0,0,,"CITY COUNCIL ADDITIONS TO THE FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN PURSUANT TO SECTION OF THE NEW YORK CITY CHARTER. PROJECTS INCLUDE MODERNIZATION AND RECONSTRUCTION OF AND IMPROVEMENTS TO SCHOOLS, PLAYGROUNDS, ATHLETIC FIELDS AND OTHER EDUCATIONAL FACILITIES AND THE PURCHASE OF COMPUTERS, VEHICLES, AND OTHER EQUIPMENT, CITYWIDE.",,,"ELIMINATE, SUBSTITUTE"
I,EDUCATION,E-D4001,,,3475280000,3576900000,3711350000,3810450000,,"FIT - CONSTRUCTION, RECONSTRUCTION, ADDITIONS TO COLLEGE CAMPUS FACILITIES, PURCHASE OF COMPUTER AND OTHER EQUIPMENT AND SYSTEMS, AND SITE ACQUISITION. IMPLEMENTATION OF THE EIGHTH FIVE-YEAR PERIOD FY THROUGH FY OF THE NEW YORK CITY DEPARTMENT OF EDUCATION, ESTABLISHED PURSUANT TO SECTION 2590-P OF THE EDUCATION LAW. TOTAL CUMULATIVE COMMITMENTS UNDER THIS PLAN ARE NOT TO EXCEED $17,000,000,000, OF WHICH $15,923,400,000 SHALL BE APPROPRIATED IN THIS BUDGET LINE, $1,076,600,000 SHALL BE APPROPRIATED UNDER BUDGET LINE E-2365 TO COMPLETE PROJECTS BEGUN UNDER THE SEVENTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN. CHANGE TITLE TO READ: IMPLEMENTATION OF THE EIGHTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN, FOR THE PERIOD FY THROUGH FY OF THE NEW YORK CITY DEPARTMENT OF EDUCATION, ESTABLISHED PURSUANT TO SECTION 2590-P OF THE EDUCATION LAW. TOTAL CUMULATIVE COMMITMENTS UNDER THIS PLAN ARE NOT TO EXCEED $19,012,280,000, OF WHICH $17,935,680,000 SHALL BE APPROPRIATED IN THIS BUDGET LINE, $1,076,600,000 SHALL BE APPROPRIATED UNDER BUDGET LINE E-2365 TO COMPLETE PROJECTS BEGUN UNDER THE SEVENTH FIVE-YEAR EDUCATIONAL",,,"ELIMINATE, SUBSTITUTE"
I,ECONOMIC DEVELOPMENT,ED-DN056,,,56000,0,0,0,,"(NEW PROJECT) CONSTRUCTION, RECONSTRUCTION, ACQUISITION OR INSTALLATION OF A NON-CITY OWNED PHYSICAL PUBLIC BETTERMENT OR IMPROVEMENT WITH A CITY PURPOSE, WHICH WOULD BE CLASSIFIED AS A CAPITAL ASSET UNDER GENERALLY ACCEPTED ACCOUNTING PRINCIPLES FOR MUNICIPALITIES; FOR THE BOYS AND GIRLS CLUB OF HARLEM.",,,
