member,organization,program,ein,amount,agency,purpose
Hankerson,"1 World Expo, Inc.","5th Annual ""1World Fest.""",813891758,5000,DYCD,Funds will be used to support running the 1World Fest.
Speaker,"Hankerson 100 Suits for 100 Men, Inc.",,462971279,50000,DYCD,"Funds will support targeted programming for high need/risk populations, including mentoring and community events in Southeast Queens."
Paladino,109th Precinct Community Council,Council District 19,112417336,5000,DYCD,Funds will support public safety and quality of life in Council District 19.
Ung,109th Precinct Community Council,National Night Out Against Crime,112417336,10000,DYCD,Funding will be used to host community events with Police and Community.
Joseph,1199 SEIU Employer Child Care Corporation,Anne Shore Sleep-Away Camp Program - Council District 40,134063281,5000,DYCD,"Funds will support the Anne Shore Sleep-Away Camp Program, which contracts with 23 independently owned and operated camps offering 1- to 4-week sleep-away experiences for participants in Council District 40."
Joseph,1199 SEIU Employer Child Care Corporation,Career Services - Council District 40,134063281,7000,DYCD,"Funds will support wraparound services for WF2 participants, including college and career readiness programming, college preparation, career counseling, and workforce development in Council District 40."
P. Sanchez,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,5000,DYCD,Funds will be used to support Future of America Learning Center's science fair event including supplies and curriculum for students leading up to the event.
Carr,122nd Precinct Community Council,,133371153,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Wilson,42nd Street Workshop,,133763953,5000,DCLA,To support the Words Matter series that commissions four writers to create short plays inspired by prompts related to a local non-profit. The plays are cast and produced for an evening dedicated to celebrating the work of that non-profit.
Aviles,"4heads, Inc.",Red Hook Open Studios - Council District 38,273651792,5000,DCLA,Funds to support neighborhood arts programming and public engagement opportunities for local artists in Council District 38.
Wilson,"52nd Street Project, Inc., The",Arts Education & Youth Development Programming,133467948,5000,DCLA,To support arts and youth development programs.
Narcisse,69th Precinct Clergy Council,Council District 46,463745556,5000,DYCD,Funding to provide youth programming and recreational activities in South Brooklyn.
Mealy,"71st Precinct Community Council, Inc.",Council District 41,043784543,10000,DYCD,"To support the youth in funding for the annual summer camp, annual Mother's Day, Thanksgiving luncheon, and Christmas concert events in the Council District 41."
Mealy,"77th Precinct Community Council, Inc.",Youth & Intergenerational Community Engagement Program - Council District 41,113463183,10000,DYCD,"To support the youth in funding for the annual summer camp, annual Mother's Day, Thanksgiving luncheon, and Christmas concert events in the Council District 41."
Restler,84th Precinct Community Council,,113149257,5000,DYCD,"To support operations, including public monthly meetings, National Night Out Against Crime, and other community events and initiatives."
Paladino,"A Better College Point Civic Association, Inc.",College Point Civic Association,871091395,7500,DYCD,Funds will support the events and services for the College Point community.
Williams,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.
Hanks,A Chance In Life,Council District 49,131835632,10000,DYCD,Funding will support the youth center and community services in Council District 49.
Marte,"ABC No Rio, Inc.",Program and Operations,133171739,5000,DCLA,Funds will support program operations for fairs and website management.
Salaam,Abyssinian Baptist Church,,131635250,10000,DYCD,"Funds will support free youth mental health workshops, caregiver forums, and referral services that build resilience and connect District 9 families to care. Page 27 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Speaker,Salaam Abyssinian Baptist Church,,131635250,20000,DYCD,"Funds to support youth mental wellness workshops, caregiver education, and resource navigation in partnership with licensed clinicians."
Zhuang,Academy of Medical and Public Health Services,Social Services & Support for Seniors - Council District 43,272206293,10000,DYCD,"Funds will support Social Services and Mental Health Support for Older Adults, providing individualized, wraparound social services to older adults from AAPI and immigrant communities in Council District 43."
Narcisse,"Access Justice Brooklyn, Inc.",,113155182,7500,DYCD,"Funding to support community events, youth programming and youth explorer program."
Krishnan,"Accompany Capital, Inc.",Small & Micro Business Services - Council District 25,810584343,7500,SBS,"To fund services for micro and small businesses in Council District 25, including webinars and technical assistance for processing grant and loan applications."
Dinowitz,"Adamah, Inc.",Environmental Justice - Council District 11,432080719,5000,DYCD,Funding to support environmental justice programming in Council District 11.
Wilson,"Adaptive Design Association, Inc.",Adapt for Access - Custom Assistive Equipment for Students with Disabilities,134170232,5000,DHMH,Funds will provide adaptations and educational experiences to the Public School 138M (75M138) network of schools.
Krishnan,Adhikaar for Human Rights and Social Justice,Immigration services - Council District 25,203384725,14000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion."
Speaker,"Marte African Burial Ground Memorial Foundation, Inc.",,923747978,20000,DYCD,"Funds would support public education and civic engagement programs at the African Burial Ground, including tours, school partnerships, community events, and interpretive activities that teach the site’s local and national history."
Joseph,"African Burial Ground Memorial Foundation, Inc.",Council District 40,923747978,5000,DYCD,Funds will support culturally responsive engagement and programming focused on historical and cultural preservation in Council District 40.
