fiscal_year,category,initiative,award_type,member,organization,program,ein,amount,agency,purpose,confidence,name_source,absorbed_from_file,absorbed_from_line,absorbed_from_ein,disclosure_confirmed
2016,HEALTH SERVICES,Cancer Prevention,initiative_provider,,"American Cancer Society, Inc., The",,131788491,1000000,,,low,absorbed_text,data/fy16/schedule_c/fy16_schedule_c_awards.csv,43,133035711,no
2016,SENIOR SERVICES,"Senior Centers, Programs, and Enhancements",initiative_provider,,Bowery Residents Committee Senior Center,,132736659,261000,DFTA,This allocation enhances and restores baselined funding to DFTA senior center programs and services and provides additional funding to senior centers that are underfunded or over utilized.,high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,197,136202692,yes
2016,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,,Center for Community Alternatives,,161395992,408978,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,yes
2016,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,,Center for Employment Opportunities,,133843322,440957,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,yes
2016,HEALTH SERVICES,Cancer Prevention,initiative_provider,,"Charles B. Wang Community Health Center, Inc.",,132739694,40500,DOHMH,"This allocation supports various screening, education and supportive services for breast, colon, and ovarian cancer.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,45,134046652,yes
2016,HEALTH SERVICES,"Healthy Women, Healthy Future",initiative_provider,,Choices in Childbirth,,202015286,20480,DOHMH,"This allocation to supports an array of doula services to expectant mothers and women of childbearing age. This funding supports the following: (1) birth doula care; (2) postpartum doula care; (3) program oversight including doula care coordination, training coordination, technical assistance and capacity building for all five Boroughs; (4)program evaluation; focus groups and surveys of doulas and program participants; and (5) doula training whereby doulas will be trained as birth and/or post-partum doulas.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,52,510567466,yes
2016,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,,"Clinton Housing Development Company, Inc.",,132851988,29730,,,low,absorbed_text,data/fy16/schedule_c/fy16_schedule_c_awards.csv,74,132564241,no
2016,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Jobs to Build On,initiative_provider,,Consortium For Worker Education (CWE),,133564313,5354200,DSBS,"To recruit and transition low-skilled, long-term unemployed and under-employed individuals, prepare them for entry-level union and non-union jobs, attain credentials enabling them to meet general employer standards, and place participants in real jobs and career prospects at a living wage.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,243,136400434,yes
2016,SMALL BUSINESS SERVICES AND WORKFORCE DEVELOPMENT,Worker Cooperative Business Development Initiative,initiative_provider,,Democracy at Work Institute (DAWI),,275265123,155000,DSBS,"The Worker Cooperative Business Development initiative will support the creation of jobs in worker cooperatives by coordinating education and training resources and by providing technical, legal, and financial assistance. The initiative will fund a comprehensive citywide effort to reach cooperative entrepreneurs, provide for the start-up of new worker cooperative small businesses, and assist existing cooperatives. The initiative will offer workforce development and concrete skills for unemployed, underemployed and discouraged workers in high-needs neighborhoods.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,266,452201993,yes
2016,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,,"Education and Assistance Corporation (EAC), Inc.",,237175609,1021340,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",high,council_disclosure,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,yes
