fiscal_year,stream,member,organization,program,ein,amount,agency,purpose,status,confidence,source_file
2015,appendix_a_aging,Gibson,"1332 Fulton Avenue Day Care Center, Inc.",,132690309,20000,DFTA,"Funds will go towards providing senior citizens that are or have been raising children with counseling, referrals, social services and social events within the district.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dromm,AARP Chapter #991 Jackson Heights,,237247760,3500,DFTA,To fund rent for meeting space for seniors program,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levine,"ARC XVI Fort Washington, Inc.",,132745426,5000,DFTA,Funds to support a bilingual transportation clerk and administrative and programmatic needs at ARC Senior Center.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rodriguez,"ARC XVI Fort Washington, Inc.",,132745426,10000,DFTA,Funding to offset costs of consultants for Senior Center,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rodriguez,"ARC XVI Fort Washington, Inc.",,132745426,13000,DFTA,Funding to offset costs of bi-lingual transportation clerk and vehicle expenses,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dickens,Abyssinian Development Corporation,,133552154,4250,DFTA,Funding to support general operating expenses and programming/activities for seniors.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,Academy Of Medical And Public Health Services,,272206293,3500,DFTA,"Funds to support The Health Literacy for the Elderly Program which offers  health education workshops to promote knowledge of diseases, health and nutrition management, and up-to-date healthcare regulations specifically to the elderly immigrant population.  FY15 funds will specifically cover the development of workshop materials, workshop space, instructor stipends, participant meals, and outreach materials.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Johnson,"Actors Fund of America, The",,131635251,5000,DFTA,"Funding is requested to support The Actors Funds work with its Seniors Advisory Committee,  which was established in 2011 to survey local seniors and make recommendations on how best to serve the aging population of the Chelsea/Hells Kitchen neighborhoods. The Actors Fund continues to work with the Seniors Advisory Committee to implement the recommendations made in its Seniors Community Survey, published in June 2013. Funding will cover staff salaries.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,"Agudath Israel of America Community Services, Inc.",,133975090,15000,DFTA,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Eugene,"Agudath Israel of America Community Services, Inc.",,133975090,16625,DFTA,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,"Allen Community Senior Citizens Center, Inc.",,112326244,5000,DFTA,"Funds will be used to help with the rising cost of food and to help maintain operation of our refrigerators and freezers as well as a new serving cart.  To also fund senior trips, purchase a new copier machine, ink and paper supplies for our computer class, and a DVD player.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,10000,DFTA,"Funding to support upgrade of  telephone system, as well as kitchen needs and program activities.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Garodnick,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,3500,DFTA,"Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease .",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rosenthal,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,3500,DFTA,"Funding supports MedicAlert®Safe Return® (MASR) program which provides an ID bracelet, wallet cards and other identifiers for persons with dementia who wander, so they can be assisted quickly and returned home.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ignizio,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,5000,DFTA,"The program to be funded, MedicAlert®Alzheimer’s Association Safe Return® (MASR) in the 51st Council District.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levine,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,5000,DFTA,To fund the MedicAlert Alzheimer's Association Safe Return (MASR) program for seniors in Council District 7. Funding will support and increase in MASR enrollment  in Council District 7.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Matteo,"Alzheimer's Foundation of Staten Island, Inc.",,133185040,5000,DFTA,"Funds will be used for support groups, seminars, equipment loans, Friendly Calls and Informational Guide to Caregiving",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Treyger,American Association of Holocaust Survivors of the Former Soviet Union,,113395358,1000,DFTA,"To fund social events for elderly holocaust survivors including holidays, Russian cultural holidays, food packages and events celebrating the survival of association members. Services include, a support program for survivors allowing them to socialize and reconnect with people of similar backgrounds and reinforce their support network.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Treyger,American Association of Holocaust Survivors of the Former Soviet Union,,113395358,2500,DFTA,"To fund social events for elderly holocaust survivors including holidays, Russian cultural holidays, food packages and events celebrating the survival of association members. Services include, a support program for survivors allowing them to socialize and reconnect with people of similar backgrounds and reinforce their support network.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,"American-Italian Coalition of Organizations, Inc. (AMICO)",,112488439,4000,DFTA,"Funds to  provide senior citizens, disabled individuals, and families with information, referral and case assistance services at two program sites in the Bensonhurst and Carroll Gardens sections of Brooklyn.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,"American-Italian Coalition of Organizations, Inc. (AMICO)",,112488439,7500,DFTA,"Funds will be used  for wellness and health programming for older adults, specifically the funds will go for payment of yoga, and health instructors. Additionally funding will be used to defray costs of purchasing exercise equipment for the center's gym facilities.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,"American-Italian Coalition of Organizations, Inc. (AMICO)",Eileen C Dugan Senior Center,112488439,7500,DFTA,To support education and wellness programs for seniors.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ignizio,"Amvets Post 103, Inc.",,841653136,3500,DFTA,"Funding will be utilized to provide clothing, winter coats and hygiene kits to homeless veterans.  To arrange trips and outings for day care patients. Provide recreational items including but not limited to-books, craft kits, puzzles and supplies for use with the ceramic activities room. Also assist vets to understand and apply for VA benefits.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Arroyo,Arthritis Foundation Northeast Region NY Chapter,,800489313,5000,DFTA,To support the implementation of additional programs (regarding Arthritis) at community locations in Council District 17.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Gentile,"Asian Community United Society, Inc.",,264164117,5500,DFTA,Funds will pay the rental expense for a program for seniors specializing in Cantonese Opera and performing for the public.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Constantinides,"Astoria Performing Arts Center, Inc.",,651209580,8000,DFTA,Funding will be used to support a senior arts program.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Williams,"Bed-Stuy Campaign Against Hunger, Inc.",,200934854,5000,DFTA,Funding for Health 360 program.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cornegy,"Bed-Stuy Campaign Against Hunger, Inc.",,200934854,15000,DFTA,"To support the Health 360 senior wellness program, which provides total wellness classes for seniors. The classes include light exercise and stretching, gardening and nutrition, recipe demonstrations. The seniors receive fruits and vegetables from the on-site garden. The funding is also used for general support for Bed-Stuy Campaign Against Hunger's general welfare services, and food programming. The funds will pay for staff salaries, equipment purchase and rental, supply purchase and rental, and general operating costs for all services performed in District 36.",Cleared,high,funded_disclosure_FY2015.xlsx
