fy,tier,absorbing_file,absorbing_line,absorbing_ein,absorbing_amount,absorbing_category,absorbing_initiative,absorbing_award_type,extracted_name,ein,amount,verdict,scope,n_candidates,already_in_corpus,d_organization,d_member,d_program,d_agency,d_purpose,d_source,d_status,d_fy,first_candidate_name
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Center for Community Alternatives' Crossroads Program,161395992,408978,unique,same_fy,1,0,Center for Community Alternatives,,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,Center for Community Alternatives
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Center for Employment Opportunities (CEO),133843322,440957,unique,same_fy,1,0,Center for Employment Opportunities,,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,Center for Employment Opportunities
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,132645436,293850,CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,initiative_provider,Educational Assistance Corporation (EAC),237175609,1021340,unique,same_fy,1,0,"Education and Assistance Corporation (EAC), Inc.",,,MOCJ,"This allocation represents a restoration of $4.1 million and an enhancement of $332,000. Alternative-to-Incarceration (ATI) programs provide intermediate sanctions, such as community service and substance abuse counseling that offer judges an alternative to pre-trial detention, a sentence in jail, or prison for eligible defendants. In addition, ATI programs provide a range of rehabilitative services for defendants and allow jail beds to be made available for more violent offenders who pose a threat to the community.",Alternatives to Incarceration (ATI's),Cleared,FY16,"Education and Assistance Corporation (EAC), Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,25,132813809,150000,CRIMINAL JUSTICE SERVICES,Initiative to Address Sexual Assault,initiative_provider,Icahn School of Medicine at Mount Sinai,136171197,150000,unique,same_fy,1,0,Icahn School of Medicine at Mount Sinai,,,MOCJ,"This allocation represents a restoration of $300,000 mil and an enhancement of $300,000. Funding will support four community-based organizations that provide sexual assault related services and programs.",Initiative to Address Sexual Assault,Cleared,FY16,Icahn School of Medicine at Mount Sinai
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,29,132946970,125000,DOMESTIC VIOLENCE SERVICES,Legal Services for Domestic Violence Victims,initiative_provider,Her Justice,133688519,100000,unique,same_fy,1,0,"Her Justice, Inc.",,,DSS/HRA,Funding will support services provided by four community-based organizations for sexual assault related services and programs.,Legal Services for Domestic Violence Victims,Cleared,FY16,"Her Justice, Inc."
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,43,133035711,175500,HEALTH SERVICES,Cancer Prevention,initiative_provider,"American Cancer Society, Inc., The",131788491,1000000,absent,none,0,0,,,,,,,,,
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,45,134046652,40000,HEALTH SERVICES,Cancer Prevention,initiative_provider,"Charles B. Wang Community Health Center, Inc.",132739694,40500,unique,same_fy,1,0,"Charles B. Wang Community Health Center, Inc.",,,DOHMH,"This allocation supports various screening, education and supportive services for breast, colon, and ovarian cancer.",Cancer Initiative,Cleared,FY16,"Charles B. Wang Community Health Center, Inc."
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,52,510567466,11360,HEALTH SERVICES,"Healthy Women, Healthy Future",initiative_provider,Choices in Childbirth,202015286,20480,unique,same_fy,1,0,Choices in Childbirth,,,DOHMH,"This allocation to supports an array of doula services to expectant mothers and women of childbearing age. This funding supports the following: (1) birth doula care; (2) postpartum doula care; (3) program oversight including doula care coordination, training coordination, technical assistance and capacity building for all five Boroughs; (4)program evaluation; focus groups and surveys of doulas and program participants; and (5) doula training whereby doulas will be trained as birth and/or post-partum doulas.","Healthy Women, Healthy Future",Cleared,FY16,Choices in Childbirth
FY16,A,data/fy16/schedule_c/fy16_schedule_c_awards.csv,57,132949483,250000,HEALTH SERVICES,Obesity Prevention,initiative_provider,"Heath Corps, Inc.",261269358,750000,unique,same_fy,1,0,"Healthcorps, Inc.",,,DOHMH,This allocation supports a number of obesity prevention programs that provide nutrition and wellness education and promote physical fitness to curb and prevent obesity in young New Yorkers.,Obesity Prevention Initiative,Cleared,FY16,"Healthcorps, Inc."
FY16,D,data/fy16/schedule_c/fy16_schedule_c_awards.csv,74,132564241,29730,HOUSING INITIATIVE,Community Consultant Contracts (CCC),initiative_provider,"Clinton Housing Development Company, Inc.",132851988,29730,absent,none,0,0,,,,,,,,,
