scope,year,file,line,column,ein,ein_printed,amount,name,host_ein,host_amount,present_any_year,present_same_year
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,organization,161395992,16-1395992,408978,Center for Community Alternatives' Crossroads Program,132645436,293850,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,organization,133843322,13-3843322,440957,Center for Employment Opportunities (CEO),132645436,293850,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,20,organization,237175609,23-7175609,1021340,Educational Assistance Corporation (EAC),132645436,293850,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,25,organization,136171197,13-6171197,150000,Icahn School of Medicine at Mount Sinai,132813809,150000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,29,organization,133688519,13-3688519,100000,Her Justice,132946970,125000,4,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,43,organization,131788491,13-1788491,1000000,"American Cancer Society, Inc., The",133035711,175500,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,45,organization,132739694,13-2739694,40500,"Charles B. Wang Community Health Center, Inc.",134046652,40000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,52,organization,202015286,20-2015286,20480,Choices in Childbirth,510567466,11360,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,57,organization,261269358,26-1269358,750000,"Heath Corps, Inc.",132949483,250000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,74,organization,132851988,13-2851988,29730,"Clinton Housing Development Company, Inc.",132564241,29730,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,75,organization,133248777,13-3248777,29730,"El Barrio Operation Fight Back, Inc.",133311582,29730,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,77,organization,112498292,11-2498292,29730,Gowanus Canal Community Development Corporation,112382250,29730,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,78,organization,133516262,13-3516262,29730,"Harlem Congregations for Community Improvement, Inc.",510141489,29730,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,80,organization,135562989,13-5562989,29730,Hudson Guild,131628180,29730,8,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,90,organization,112470566,11-2470566,29730,"Peoples Firehouse, Inc.",112375583,29730,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,94,organization,131943516,13-1943516,29730,"Strycker's Bay Neighborhood Council, Inc.",132735378,29731,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,176,organization,542177390,54-2177390,50000,Turning Point for Women and Families,133593806,50000,22,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,194,organization,135654450,13-5654450,234000,Selfhelp Community Services - Northridge NORC,132947657,57000,4,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,197,organization,132736659,13-2736659,261000,Bowery Residents’ Committee Senior Center,136202692,10000,2,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,241,organization,472787706,47-2787706,15000,Staten Island Community Job Center,136400434,135000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,243,organization,133564313,13-3564313,5354200,Consortium for Worker Education (CWE),136400434,281800,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,organization,201828936,20-1828936,234000,Green Worker Cooperatives,113344389,94000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,organization,042628399,04-2628399,234000,ICA Group,113344389,94000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,264,organization,202264584,20-2264584,234000,"Working World, The (TWW)",113344389,94000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,266,organization,275265123,27-5265123,155000,Democracy at Work Institute (DAWI),452201993,84000,0,0
q1_organization,FY2016,data/fy16/schedule_c/fy16_schedule_c_awards.csv,266,organization,465245034,46-5245034,148000,NYC Network of Worker Cooperatives (NYCNOWC),452201993,84000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,2,organization,472375867,47-2375867,2000000,A&G Early Child Care Community Network Inc.,112290419,960000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,organization,132732818,13-2732818,709605,"Bethany Day Nursery, Inc.",131860451,273875,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,organization,112347180,11-2347180,1448669,"Conselyea St. Block Association, Inc.",131860451,273875,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,organization,112300840,11-2300840,587058,Fort Greene Council Inc.,131860451,273875,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,3,organization,112302049,11-2302049,1136000,Gan Day Care,131860451,273875,10,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,5,organization,135623279,13-5623279,325000,Staten Island Mental Health Society Inc. Head Start Program,131992185,275000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,7,organization,133212867,13-3212867,47000,"Broadway Housing Communities, Inc.",111904261,175000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,organization,043263046,04-3263046,175000,Jumpstart for Children,131887440,175000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,10,organization,133911331,13-3911331,440000,Literacy Inc. (LINC),131887440,175000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,11,organization,135562308,13-5562308,236000,New York University,112495601,34000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,organization,133935309,13-3935309,20000,"Dromm PowerMyLearning, Inc.",550882599,20000,56,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,organization,133935309,13-3935309,20000,"Eugene PowerMyLearning, Inc.",550882599,20000,56,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,27,organization,133935309,13-3935309,20000,"Ferreras-Copeland PowerMyLearning, Inc.",550882599,20000,56,0
